feature,dtype,pre_birth
dmar,category,1
sex,category,1
mbstate_rec,category,1
wic,category,1
cig_rec,category,1
rf_pdiab,category,1
rf_gdiab,category,1
rf_phype,category,1
rf_ghype,category,1
rf_ehype,category,1
rf_ppterm,category,1
rf_inftr,category,1
no_risks,category,1
ip_gon,category,1
ip_syph,category,1
ip_chlam,category,1
ip_hepatb,category,1
ip_hepatc,category,1
no_infec,category,1
ob_ecvs,category,1
ob_ecvf,category,1
restatus,category,
mar_p,category,1
rf_fedrg,category,1
rf_artec,category,1
dplural,category,1
mhisp_r,category,1
fhisp_r,category,1
bfacil,category,
mracehisp,category,1
pay,category,1
meduc,category,1
fracehisp,category,1
feduc,category,1
dob_mm,category,1
precare,category,1
rf_cesarn,category,1
bmi,float,1
priordead,float,1
priorlive,float,1
priorterm,float,1
combgest,float,1
oegest_comb,float,1
mager,float,1
m_ht_in,float,1
cig_3,float,1
cig_2,float,1
cig_1,float,1
cig_0,float,1
fagecomb,float,1
previs,float,1
wtgain,float,1
illb_r,float,1
ilop_r,float,1
ilp_r,float,1
pwgt_r,float,1
dwgt_r,float,1
ld_indl,category,
ld_augm,category,
ld_ster,category,
ld_antb,category,
ld_chor,category,
ld_anes,category,
no_lbrdlv,category,
mm_mtr,category,
mm_plac,category,
mm_rupt,category,
mm_uhyst,category,
mm_aicu,category,
no_mmorb,category,
ab_aven1,category,
ab_aven6,category,
ab_nicu,category,
ab_surf,category,
ab_anti,category,
ab_seiz,category,
no_abnorm,category,
ca_anen,category,
ca_mnsb,category,
ca_cchd,category,
ca_cdh,category,
ca_omph,category,
ca_gast,category,
ca_limb,category,
ca_cleft,category,
ca_clpal,category,
ca_hypo,category,
no_congen,category,
me_pres,category,
me_trial,category,
ca_downs,category,
ca_disor,category,
me_rout,category,
attend,category,
setorder_r,category,1
dob_wk,category,
rdmeth_rec,category,
lbo_rec,category,
tbo_rec,category,
apgar5,category,
apgar10,category,
dbwt,float,
dob_tt,float,
ilive,category,
mrace31,category,1
frace31,category,1
